;;;;;;;;;;;;;;;;;
Второй раздел – виды спорта, развитие которых осуществляется на общероссийском уровне, и их спортивные дисциплины;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
№;Наименование  вида спорта;Номер-код вида спорта;Наименование спортивной дисциплины;Номер-код спортивной дисциплины;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 48 КГ;1650701811Д;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 50 КГ;1650711811Ю;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 52 КГ;1650721811Н;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;1650731811Ю;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 57 КГ;1650741811Б;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 57+ КГ;1650751811Д;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;1650761811А;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 60+ КГ;1650771811Ю;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 62 КГ;1650781811Б;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;1650791811А;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 68 КГ;1650801811Б;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 68+ КГ;1650811811Д;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;1650821811А;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 70+ КГ;1650831811Ю;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 74 КГ;1650841811Б;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;1650851811А;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;1650861811Я;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 80+ КГ;1650871811С;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;1650881811М;;;;;;;;;;;;;
;;;СРЕДСТВА ЗАЩИТЫ - ВЕСОВАЯ КАТЕГОРИЯ 85+ КГ;1650891811М;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 28 КГ;1650011811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 32 КГ;1650021811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 35 КГ;1650031811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 37 КГ;1650041811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 40 КГ;1650051811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 42 КГ;1650061811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 57 КГ;1650161811Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;1650171811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 62 КГ;1650181811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 62+ КГ;1650191811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 63 КГ;1650201811Ж;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;1650211811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;1650221811Я;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 70+ КГ;1650231811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;1650241811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 78 КГ;1650251811Ж;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 78+ КГ;1650261811Ж;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;1650271811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 80+ КГ;1650281811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;1650291811А;;;;;;;;;;;;;
22;ДЖИУ-ДЖИТСУ;0290001411Я;ВЕСОВАЯ КАТЕГОРИЯ 50 КГ;0290191811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 52 КГ;0290201811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;0290021811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 56 КГ;0290031811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 57 КГ;0290211811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 57+ КГ;0290601811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;0290221811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 62 КГ;0290041811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 63 КГ;0290231811Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 63+ КГ;0290241811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 66 КГ;0290251811Ю;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 36 КГ;0290661811Д;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 38 КГ;0290671811Ю;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 40 КГ;0290421811Д;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 42 КГ;0290681811Ю;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 44 КГ;0290441811Д;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;0290451811Ю;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 46 КГ;0290461811Ю;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 48 КГ;0290471811Д;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 50 КГ;0290491811Ю;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 52 КГ;0290501811Д;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;0290301811Ю;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 56 КГ;0290691811А;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 57 КГ;0290511811Б;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 57+ КГ;0290701811Д;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;0290521811Ю;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 62 КГ;0290311811А;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 63 КГ;0290531811Б;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 63+ КГ;0290711811Д;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 66 КГ;0290541811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 66+ КГ;0290261811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 69 КГ;0290051811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;0290061811Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 70+ КГ;0290071811Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 73 КГ;0290271811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 73+ КГ;0290611811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 77 КГ;0290081811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 81 КГ;0290281811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 81+ КГ;0290291811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;0290091811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 94 КГ;0290101811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 94+ КГ;0290111811А;;;;;;;;;;;;;
;;;КАТА - ПАРНОЕ;0290121811Я;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 25 КГ;0290621811Д;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 28 КГ;0290631811Д;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 30 КГ;0290641811Ю;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 32 КГ;0290651811Д;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 34 КГ;0290401811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 25 КГ;0290011811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 28 КГ;0290141811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 30 КГ;0290391811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 32 КГ;0290411811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 34 КГ;0290381811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 36 КГ;0290431811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 38 КГ;0290481811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 40 КГ;0290131811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 42 КГ;0290591811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 44 КГ;0290151811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;0290161811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 46 КГ;0290171811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 48 КГ;0290181811Д;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 66+ КГ;0290551811Ю;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 69 КГ;0290331811А;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 73 КГ;0290561811Ю;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 73+ КГ;0290721811Ю;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 77 КГ;0290341811А;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 81 КГ;0290571811Ю;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 81+ КГ;0290581811Ю;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;0290321811А;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 94 КГ;0290351811А;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - ВЕСОВАЯ КАТЕГОРИЯ 94+ КГ;0290361811А;;;;;;;;;;;;;
;;;БОРЬБА ЛЕЖА - АБСОЛЮТНАЯ КАТЕГОРИЯ;0290371811Л;;;;;;;;;;;;;
23;АРМРЕСТЛИНГ;0990001411Я;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 65 КГ (PIU);0990161711Ж;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 65+ КГ (PID);0990371711Ж;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;0990231811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 90 КГ;0990241811Г;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 90+ КГ;0990141811Э;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 100 КГ;0990251811М;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 110 КГ;0990271811М;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 110+ КГ;0990261811М;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 50 КГ (PIU);0990021711Д;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 50+ КГ (PIU);0990041711Д;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 55 КГ (PID);0990051711М;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 55 КГ (PIU);0990071711Ю;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 55+ КГ (PIU);0990081711Ю;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 60 КГ (PIU);0990101711М;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 65 КГ (PID);0990121711Л;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 65+ КГ (PIU);0990171711Ж;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 70 КГ (PIU);0990181711М;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 75 КГ (PID);0990281711М;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 40 КГ;0990011811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;0990031811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 50 КГ;0990061811С;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;0990091811Я;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;0990111811Я;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;0990131811Я;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;0990191811Я;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 70+ КГ;0990201811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;0990211811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;0990151811Г;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 80+ КГ;0990221811Э;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 85+ КГ, ЛЕВАЯ РУКА (PIUH);0990411711М;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 75+ КГ (PID);0990291711М;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 85 КГ, ПРАВАЯ РУКА (PIDH);0990301711М;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 85 КГ, ПРАВАЯ РУКА (PIUH);0990381711М;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 85 КГ, ЛЕВАЯ РУКА (PIDH);0990311711М;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 85 КГ, ЛЕВАЯ РУКА (PIUH);0990391711М;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 80 КГ (PIU);0990321711М;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 85+ КГ, ПРАВАЯ РУКА (PIDH);0990331711М;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 85+ КГ, ПРАВАЯ РУКА (PIUH);0990401711М;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 85+ КГ, ЛЕВАЯ РУКА (PIDH);0990341711М;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 90 КГ (PIU);0990351711М;;;;;;;;;;;;;
;;;ПОДА - ВЕСОВАЯ КАТЕГОРИЯ 90+ КГ (PIU);0990361711М;;;;;;;;;;;;;
24;КОРЭШ;1590001411А;ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;1590071811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;1590061811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;1590051811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;1590041811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;1590031811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 50 КГ;1590021811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;1590011811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 40 КГ;1590171811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 36 КГ;1590161811Ю;;;;;;;;;;;;;
;;;КОМАНДНЫЕ СОРЕВНОВАНИЯ;1590201811А;;;;;;;;;;;;;
;;;АБСОЛЮТНАЯ КАТЕГОРИЯ;1590151811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 130+ КГ;1590141811М;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 130 КГ;1590191811М;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 120 КГ;1590181811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 110 КГ;1590121811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 100 КГ;1590131811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 90 КГ;1590111811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;1590101811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;1590081811А;;;;;;;;;;;;;
25;ФЛОРБОЛ;1380002411Я;ФЛОРБОЛ;1380012811Я;;;;;;;;;;;;;
26;КОНЬКОБЕЖНЫЙ СПОРТ;0450003611Я;ДИСТАНЦИЯ 100 М;0450013811Я;;;;;;;;;;;;;
;;;ДИСТАНЦИЯ 300 М;0450033811Я;;;;;;;;;;;;;
;;;ДИСТАНЦИЯ 500 М;0450053611Я;;;;;;;;;;;;;
;;;ДИСТАНЦИЯ 500М+500 М;0450363811Я;;;;;;;;;;;;;
;;;МНОГОБОРЬЕ (500М+3000М+1500М+5000М);0450133811Г;;;;;;;;;;;;;
;;;МНОГОБОРЬЕ (500М+5000М+1500М+10000М);0450143811М;;;;;;;;;;;;;
;;;МНОГОБОРЬЕ (500М+1500М+1000М+3000М);0450153811Я;;;;;;;;;;;;;
;;;МНОГОБОРЬЕ (100М+300М+100М+300М);0450163811Н;;;;;;;;;;;;;
;;;ЭСТАФЕТА (4ЧЕЛ. Х 400М);0450193811Я;;;;;;;;;;;;;
;;;ЭСТАФЕТА СМЕШАННАЯ (4ЧЕЛ. Х 400М);0450223811Н;;;;;;;;;;;;;
;;;КОМАНДНЫЙ ЗАБЕГ 6 КРУГОВ;0450353611Б;;;;;;;;;;;;;
;;;КОМАНДНЫЙ ЗАБЕГ 8 КРУГОВ;0450283611А;;;;;;;;;;;;;
;;;КОМАНДНЫЙ ЗАБЕГ - СПРИНТ 3 КРУГА;0450083811Я;;;;;;;;;;;;;
;;;ГРУППОВОЙ ЗАБЕГ 40 000 М;0450343811М;;;;;;;;;;;;;
;;;ШОРТ-ТРЕК - ДИСТАНЦИЯ 500 М;0450373611Я;;;;;;;;;;;;;
;;;ШОРТ-ТРЕК - ДИСТАНЦИЯ 777 М;0450453811Н;;;;;;;;;;;;;
;;;ШОРТ-ТРЕК - ДИСТАНЦИЯ 1000 М;0450383611Я;;;;;;;;;;;;;
;;;ДИСТАНЦИЯ 1000 М;0450063611Я;;;;;;;;;;;;;
;;;ДИСТАНЦИЯ 1500 М;0450073611Я;;;;;;;;;;;;;
;;;ДИСТАНЦИЯ 3000 М;0450093611Я;;;;;;;;;;;;;
;;;ДИСТАНЦИЯ 5000 М;0450103611Г;;;;;;;;;;;;;
;;;ДИСТАНЦИЯ 10 000 М;0450113611М;;;;;;;;;;;;;
;;;МАССТАРТ 10 КРУГОВ;0450043811Н;;;;;;;;;;;;;
;;;МАССТАРТ 16 КРУГОВ;0450023611Л;;;;;;;;;;;;;
;;;МНОГОБОРЬЕ (500М+ 1000М+500М+1000М);0450123811Я;;;;;;;;;;;;;
;;;МНОГОБОРЬЕ (500М+1500М+1000М+5000М);0450173811А;;;;;;;;;;;;;
;;;ШОРТ-ТРЕК - ДИСТАНЦИЯ 1500 М;0450393611Я;;;;;;;;;;;;;
;;;ШОРТ-ТРЕК - ТРОЕБОРЬЕ (1000М+500М+777М);0450463811Н;;;;;;;;;;;;;
;;;ШОРТ-ТРЕК - МНОГОБОРЬЕ (1500М+500М+1000М+1500М);0450403811Н;;;;;;;;;;;;;
;;;ШОРТ-ТРЕК - МНОГОБОРЬЕ (1500М+500М+1000М+3000М);0450413811Л;;;;;;;;;;;;;
;;;ШОРТ-ТРЕК - ЭСТАФЕТА 3 ЧЕЛ - 2000М;0450423811Н;;;;;;;;;;;;;
;;;ШОРТ-ТРЕК - ЭСТАФЕТА 4 ЧЕЛ - 3000М;0450433611С;;;;;;;;;;;;;
;;;ШОРТ-ТРЕК - ЭСТАФЕТА 4 ЧЕЛ - 5000М;0450443611М;;;;;;;;;;;;;
;;;ШОРТ-ТРЕК - ЭСТАФЕТА СМЕШАННАЯ (2 Ж + 2 М - 3000 М);0450183811Н;;;;;;;;;;;;;
;;;ШОРТ-ТРЕК - ЭСТАФЕТА СМЕШАННАЯ (2 Ж + 2 М - 2000 М);0450203611Л;;;;;;;;;;;;;
27;СПОРТ СВЕРХЛЕГКОЙ АВИАЦИИ;1580001411Я;ПАРАПЛАН - ТОЧНОСТЬ ПРИЗЕМЛЕНИЯ;1580111811Я;;;;;;;;;;;;;
;;;ПАРАПЛАН - МАРШРУТНЫЙ ПОЛЕТ;1580091811Я;;;;;;;;;;;;;
;;;ДЕЛЬТАПЛАН КЛАСС 5 - МАРШРУТНЫЙ ПОЛЕТ;1580051811Я;;;;;;;;;;;;;
;;;ДЕЛЬТАПЛАН КЛАСС 1 - СКОРОСТНОЕ ПАРЕНИЕ;1580041811Я;;;;;;;;;;;;;
;;;ДЕЛЬТАПЛАН КЛАСС 1 - МАРШРУТНЫЙ ПОЛЕТ;1580011811Я;;;;;;;;;;;;;
;;;ПАРАЛЁТ - 1;1580201811Я;;;;;;;;;;;;;
;;;МИКРОСАМОЛЕТ - 1;1580161811Я;;;;;;;;;;;;;
;;;ДЕЛЬТАЛЕТ - 2;1580151811Я;;;;;;;;;;;;;
;;;ДЕЛЬТАЛЕТ - 1;1580141811Я;;;;;;;;;;;;;
;;;АВТОЖИР;1580131811Я;;;;;;;;;;;;;
;;;ПАРАПЛАН - СКОРОСТНОЕ ПАРЕНИЕ;1580121811Я;;;;;;;;;;;;;
;;;ПАРАПЛАН - ПИЛОТАЖ;1580101811Я;;;;;;;;;;;;;
;;;ДВОЕБОРЬЕ СЛА;1580221811Я;;;;;;;;;;;;;
;;;ПАРАЛЁТ - 2;1580211811Я;;;;;;;;;;;;;
;;;ПАРАЛЁТ - 1 - СЛАЛОМ;1580241811М;;;;;;;;;;;;;
;;;МОТОПАРАПЛАН - СЛАЛОМ;1580231811М;;;;;;;;;;;;;
;;;МОТОПАРАПЛАН;1580191811Я;;;;;;;;;;;;;
;;;МОТОДЕЛЬТАПЛАН;1580181811Я;;;;;;;;;;;;;
;;;МИКРОСАМОЛЕТ - 2;1580171811Я;;;;;;;;;;;;;
28;ВОДНОЕ ПОЛО;0050002611Я;ПЛЯЖНОЕ ВОДНОЕ ПОЛО;0050032811Я;;;;;;;;;;;;;
;;;МИНИ ВОДНОЕ ПОЛО;0050022811Я;;;;;;;;;;;;;
;;;ВОДНОЕ ПОЛО;0050012611Я;;;;;;;;;;;;;
29;СТРЕЛЬБА ИЗ АРБАЛЕТА;0850001411Я;АМ - 30 М, 30 ВЫСТРЕЛОВ СТОЯ + 30 ВЫСТРЕЛОВ С КОЛЕНА + ФИНАЛ;0850151811Я;;;;;;;;;;;;;
;;;АМ - 30 М, 30 ВЫСТРЕЛОВ С КОЛЕНА;0850141811Я;;;;;;;;;;;;;
